Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label
2.63,62.63,8.474114917922558,2.6414213333852183,0.7424807364204966,-1.258731359200844,0
3.63,63.63,7.371306324001511,2.8471881028559958,0.49561904810935786,-1.1556831153786074,0
4.63,64.63,7.550897683731652,2.389950250526586,0.47588236783433935,-1.102514264540595,0
5.63,65.63,7.4562434946295095,2.766057157129299,1.0257945643318225,-1.373440406758769,0
6.63,66.63,7.469545546921305,2.318808137695126,0.5508625438935244,-1.1981567707378427,0
7.63,67.63,7.450133493733938,2.730467742887276,0.3885843377348679,-1.2326246993145475,0
8.629999999999999,68.63,7.340822675989692,2.5040869335797993,0.4739563690085524,-1.0120844971647749,0
9.629999999999999,69.63,7.459941157931535,2.7892496793707604,0.43829145564881244,-1.326815222660161,0
10.629999999999999,70.63,7.381770926165501,2.3642108403551347,0.4500407556539954,-1.206307354079642,0
11.629999999999999,71.63,7.681779401274078,2.793881145717058,0.4872653347224216,-1.2659124093950542,0
12.629999999999999,72.63,7.865480223851131,2.3304085536614165,0.26894489698884483,-1.2085017247481922,0
13.629999999999999,73.63,8.185923287657193,2.9032700311662616,0.45796916316534597,-1.1936711357488743,0
14.629999999999999,74.63,8.046721350294224,2.5927124813465108,0.6642287491918566,-1.2874211666543713,0
15.629999999999999,75.63,7.7131988619016685,2.627087004021634,0.3988617991838952,-1.3229286845408699,0
16.63,76.63,7.962135466075631,2.3622581932140623,1.1605820707424073,-1.2398705164041712,0
17.63,77.63,8.270767327734099,2.912962007341201,0.4204114311974725,-1.3207765434903964,0
18.63,78.63,8.007844994773723,2.4123317045859594,0.6565743678585436,-1.3117348661142296,0
19.63,79.63,7.993174990116307,2.6931157541468567,0.7828997691300712,-1.3280413808530187,0
20.63,80.63,7.9929398193938095,2.4258066292974307,0.5357306720662853,-1.2609280059734078,0
21.63,81.63,8.136105844791976,2.6777780621450935,0.19232769620411228,-1.2249548418247176,0
22.63,82.63,8.072532735836113,2.489891821414113,0.4967649396960354,-1.088609611966735,0
23.63,83.63,8.337000878309237,2.761038018541581,0.7117495749332878,-1.2449698312106088,0
24.63,84.63,8.278113181196247,2.5091639889221113,0.42398252743074094,-1.3726303607731176,0
25.63,85.63,8.270714297812567,3.1888615140335466,0.2493927876175528,-1.342662033415436,0
26.63,86.63,8.334598349857414,2.5929484219201564,0.595655701185831,-1.2317096426151442,0
27.63,87.63,8.297611091881164,2.8766808864686233,0.7354068021893441,-1.309419014778587,0
