Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label
2773.078132391,2833.078132391,2.842351421080507,-0.2457837421215041,-0.7083199389104688,-0.0668712063085799,1
2774.078132391,2834.078132391,2.7625921394368875,-0.3304546710005245,-0.26508610116824505,-0.3464747553471521,1
2775.078132391,2835.078132391,3.0109491959300794,-0.22684272051001342,-0.4662090455087333,-0.466843246602926,1
2776.078132391,2836.078132391,2.7074042561312117,-0.4313021142768996,-0.5337700019621789,-0.16367910360444915,1
2777.078132391,2837.078132391,3.1068574732903764,-0.29228096386425273,-0.30635015073423766,0.5881113579011461,1
2778.078132391,2838.078132391,3.041370408998276,-0.2731485581582458,-0.17053748880025976,0.017117476380526853,1
2779.078132391,2839.078132391,2.7036285514373475,-0.33029506729016145,-0.3133778279464674,0.4045118478257277,1
2780.078132391,2840.078132391,2.9759980677213367,-0.3277686824178092,-0.5499656637207955,-0.5595372594308166,1
2781.078132391,2841.078132391,2.604495788612682,-0.48132253886382115,-0.4357495152663775,-0.4151563714855868,1
2782.078132391,2842.078132391,3.0255181745268365,-0.34025034675719645,-0.63227248099302,-0.42716477646555484,1
2783.078132391,2843.078132391,2.5881884266340753,-0.482422573320743,-0.3480978791922391,-0.20002259300031966,1
2784.078132391,2844.078132391,3.0060713506006973,-0.32537688727719605,-0.6068796753134462,0.1323568615095474,1
2785.078132391,2845.078132391,2.5998631237967516,-0.4484513337253304,-0.6278842917902274,0.03804657347741447,1
2786.078132391,2846.078132391,3.488754432270315,-0.42851880534893727,-0.32214653193534604,-0.19622081220481258,1
2787.078132391,2847.078132391,2.9612562512613545,-0.4941076014752439,-0.4388936670495722,-0.11426094441413248,1
2788.078132391,2848.078132391,2.168268751972425,-0.4329592751628146,-0.612180355939385,-0.18579285812648072,1
2789.078132391,2849.078132391,3.1169593574712016,-0.33482890876674265,-0.5004050957070825,0.1298251246651505,1
2790.078132391,2850.078132391,2.0955680089071063,-0.5576426629058946,-0.5349085026117697,0.04179515357848551,1
2791.078132391,2851.078132391,2.6108984433202886,-0.48789281234784054,-0.6972276643541737,0.6560125639593215,1
2792.078132391,2852.078132391,2.228875133770896,-0.4175104778431611,-0.6258366735475929,-0.4134484047577991,1
2793.078132391,2853.078132391,2.723486978899235,-0.31774994811800106,-0.5166325328952128,-0.27471254239146825,1
2794.078132391,2854.078132391,2.3484283342671217,-0.5546785923800259,-0.5846261388790084,-0.2919936906043552,1
2795.078132391,2855.078132391,2.786255775509053,-0.4106616495340383,-0.45437223425453555,-0.5828853432016161,1
2796.078132391,2856.078132391,2.6076518856648496,-0.3699540261537635,-0.49783701257444823,-0.5833266302218978,1
2797.078132391,2857.078132391,2.7619797830592976,-0.347907095930581,-0.5158553804724262,0.6298587527775061,1
2798.078132391,2858.078132391,2.4223916773523495,-0.4379281839332778,-0.5075558024257658,0.4341321682376562,1
2799.078132391,2859.078132391,2.4570291091975323,-0.4582516412872817,-0.2513197493412376,-0.352875619995646,1
2800.078132391,2860.078132391,2.85649263651914,-0.4195681443040882,-0.6956211337179181,0.06876060631712999,1
2801.078132391,2861.078132391,2.464857458347315,-0.17963510268071525,-0.5375670407614179,-0.005876525284665313,1
2802.078132391,2862.078132391,2.909193037504667,-0.2863106074643018,-0.6268316181811899,-0.7618751758426758,1
2803.078132391,2863.078132391,2.259476645979781,-0.4372692195682082,-0.22849480108288045,-0.5944195476440015,1
2804.078132391,2864.078132391,2.9770378725978768,-0.4078850009093413,-0.32610053460717126,-0.14293013989519165,1
2805.078132391,2865.078132391,2.2699406973390985,-0.34162617604279877,-0.4581415249065732,0.14768382021223214,1
2806.078132391,2866.078132391,2.9589855353740857,-0.36155578829979174,-0.5172528753911569,-0.24384008000864998,1
2807.078132391,2867.078132391,2.3702908515655308,-0.5378219417259786,-0.39728126779396566,0.16452894313745858,1
2808.078132391,2868.078132391,2.486677902900226,-0.5661588267937323,-0.5545691504709565,0.5766793321156838,1
2809.078132391,2869.078132391,2.7786553600803376,-0.39404935601524604,-0.6307377138863934,-0.09927437856234533,1
2810.078132391,2870.078132391,2.495397385127511,-0.351789600884,-0.7235735523103823,0.6356350600427549,1
2811.078132391,2871.078132391,2.811877663122278,-0.42324151794766207,-0.5671372185982402,-0.24587226763784287,1
2812.078132391,2872.078132391,2.5402200728852087,-0.47199633835901267,-0.313617808863921,-0.11193963938534468,1
2813.078132391,2873.078132391,2.9351911286819936,-0.39921076761177865,-0.5461326815189986,-0.2523737642267885,1
2814.078132391,2874.078132391,2.38967631938716,-0.3957980941121533,-0.3194918553036086,-0.011616196246810429,1
2815.078132391,2875.078132391,2.9157859246854336,-0.4008712358469859,-0.3568973175486896,-0.2901839072528696,1
2816.078132391,2876.078132391,2.5312085740954844,-0.4415915212948631,-0.5114561262894664,-0.09730239688456255,1
2817.078132391,2877.078132391,2.8244886046081072,-0.5184476870112613,-0.6768938538618325,-0.12022144368329624,1
2818.078132391,2878.078132391,2.6009967206602687,-0.4897243661526063,-0.5241795233586717,0.18945160775765313,1
2819.078132391,2879.078132391,2.7598203636975303,-0.4484498498160985,-0.3761481569648968,-0.27446705327527177,1
2820.078132391,2880.078132391,2.9754387174431347,-0.44254265638137413,-0.45306474195869617,0.35387871441437335,1
2821.078132391,2881.078132391,2.8421967095108815,-0.5173278507995622,-0.28578032320108804,-0.383183247681389,1
2822.078132391,2882.078132391,2.977346806923099,-0.5773290344339785,-0.4617386992251511,-0.5149706639256006,1
2823.078132391,2883.078132391,2.8098372987297067,-0.48657055639441316,-0.40685215390714546,-0.44716888939675004,1
2824.078132391,2884.078132391,2.885123752124179,-0.2734222066789309,0.06798126638988045,-0.44951444358181236,1
2825.078132391,2885.078132391,2.6450886052721847,-0.498225808113153,-0.4318485090352224,-0.743077162067769,1
2826.078132391,2886.078132391,2.611341032252227,-0.5053976124798094,-0.17410772862980872,-0.3731623362867751,1
2827.078132391,2887.078132391,2.634195194264236,-0.5302284664067431,-0.2399102621985043,-0.06295462268254415,1
2828.078132391,2888.078132391,2.822974601159541,-0.5080002407588746,-0.3158160460367663,0.4821538535702592,1
2829.078132391,2889.078132391,2.778325051716852,-0.4507842929309427,-0.27913219473273854,0.5952206936203583,1
2830.078132391,2890.078132391,2.6251585586136796,-0.3689687385796989,-0.4150462908059347,0.5133589869286448,1
2831.078132391,2891.078132391,2.9374647814244943,-0.6018298686809889,-0.6244988988005651,-0.21306363038325626,1
2832.078132391,2892.078132391,2.5403217346873728,-0.5060539111556257,-0.3405741873673218,0.14772536023849625,1
2833.078132391,2893.078132391,2.8373568428459643,-0.47642244776272413,-0.4023903747896087,0.45745860028122864,1
2834.078132391,2894.078132391,2.4948560983681753,-0.3798758609663686,-0.581638840452924,0.4552165541458262,1
2835.078132391,2895.078132391,2.6828126719440304,-0.6017551810110726,-0.17475239059370296,1.4137145566812492,1
2836.078132391,2896.078132391,2.528491855012625,-0.6503102410309012,-0.26721854709895876,0.9786066954096433,1
2837.078132391,2897.078132391,2.591814703237362,-0.5061062156177254,-0.3755110493006919,0.9928526934844633,1
2838.078132391,2898.078132391,2.426287876849493,-0.5264477420518081,-0.5361120155776824,0.7036683514607538,1
