Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label
0.074147463,60.074147463,1.5065054081121128,0.08278487515696442,-0.7322095369508324,1.822495362714073,0
1.074147463,61.074147463,1.4535915395487473,0.11076678127416661,-0.15115544785518242,2.1731946102262123,0
2.074147463,62.074147463,2.181655930381953,-0.03546251778883436,-0.36394748454180714,2.129050824581646,0
3.074147463,63.074147463,1.5426466792326128,0.2516042241883274,-0.20745751488659403,2.5236062474073417,0
4.074147463,64.074147463,1.5866616174845074,0.2270670099521488,-0.3966036552972385,2.362358118304189,0
5.074147463,65.074147463,2.2986422464171845,0.11544533060327966,-0.42440882269002156,1.2892669018257212,0
6.074147463,66.074147463,1.569078228285134,0.16642284028921095,-0.6403383649409817,2.01199850891948,0
7.074147463,67.074147463,2.1696099938515747,-0.01757161846811872,-0.6444872074178623,1.9640942953014715,0
8.074147463,68.074147463,1.550097724856724,0.26963524267222283,-0.4141988126385159,3.070589104225731,0
9.074147463,69.074147463,2.146675082933741,0.1939436438140585,-0.442128403651743,5.86456777946681,0
10.074147463,70.074147463,1.6594084210878455,0.12395036586198671,-0.42494317780869073,4.30831813041207,0
11.074147463,71.074147463,2.2302368374592243,0.11535264598706707,-0.492401749487438,7.619826770491782,0
12.074147463,72.074147463,1.6419075923557482,0.28506185151481267,-0.503687171248214,2.0778562509974856,0
13.074147463,73.074147463,1.5649879530844952,0.2823112312125522,-0.5278947141441499,0.7742258967932227,0
14.074147463,74.074147463,2.5176531006710325,0.03413109742084197,-0.41579110899357463,5.648224858877368,0
15.074147463,75.074147463,1.6536383617046502,0.08181807989319267,-0.5025662251217224,1.108879747148758,0
16.074147463,76.074147463,2.1768156173244924,0.05613924945503568,-0.5487725011335738,2.9550992717520117,0
17.074147463,77.074147463,2.4116745998757487,0.47060724450701885,-0.07835335002404253,6.075818049531845,0
18.074147463,78.074147463,2.0046505659978315,0.03911109092557963,-0.5000271224792341,3.993323829661552,0
19.074147463,79.074147463,1.523407943500806,0.035974699937436405,-0.39639962846294985,1.1299548406186242,0
20.074147463,80.074147463,1.956561324590525,0.032699115442064386,-0.5054680377337801,6.146710266677092,0
21.074147463,81.074147463,1.4616400138762202,0.2673363447771657,-0.6269470775150152,1.5269949989540246,0
22.074147463,82.074147463,1.4424265564914602,0.20175991474210875,-0.560065873535808,1.135968393579395,0
23.074147463,83.074147463,1.8692426892186225,0.10186002688643825,-0.44985382596398127,4.075493464435118,0
24.074147463,84.074147463,1.3888864934175702,0.12796677163277392,-0.6399587089837317,1.2310894038863696,0
25.074147463,85.074147463,1.9281544775963617,-0.04794564205665619,-0.4656542488316875,2.216056117451928,0
26.074147463,86.074147463,1.3905012364604588,0.3144335639815661,-0.16778643594853326,1.6194867024715816,0
27.074147463,87.074147463,1.924251685612167,0.005145545074238367,-0.5066976330680011,1.6285673303313057,0
28.074147463,88.074147463,1.3383991685121224,-0.11379172206325894,-0.36410336532005694,-0.3326520451819257,0
29.074147463,89.074147463,1.909107169085348,-0.029277546736628413,-0.5374451375112881,1.3321669272644119,0
30.074147463,90.074147463,1.4251352749734378,0.1456141836976692,-0.6492163325871112,2.0786102587420103,0
31.074147463,91.074147463,1.6889072924401782,-0.06717965364533196,-0.7165726998690256,-0.0283313901176121,0
32.074147463,92.074147463,1.7532664446687747,-0.02916032301032212,-0.6290495979658157,2.6735056241947994,0
33.074147463,93.074147463,1.369506976168795,-0.11206244697747048,-0.6322219776385838,3.622362063978666,0
34.074147463,94.074147463,1.7382939640683626,-0.15224440530117578,-0.5369576217689565,4.9275627739699726,0
35.074147463,95.074147463,1.414212106499721,0.17681248699689123,-0.4539446782179577,2.12308104430599,0
36.074147463,96.074147463,1.613206519410241,-0.11444962587504381,-0.4706177198170147,1.4212316438489836,0
37.074147463,97.074147463,1.503355557121436,-0.2448610902201267,-0.39696434220275645,1.6030075126947718,0
38.074147463,98.074147463,1.5986694168075841,-0.11343165037676517,-0.49332025187221307,2.81969601903834,0
39.074147463,99.074147463,1.4729372039514574,0.09207879651072881,-0.680787604159709,1.2033562669204336,0
40.074147463,100.074147463,1.6596027471546142,-0.016450566507082875,-0.5641594206358893,1.200951428170816,0
41.074147463,101.074147463,1.6363261350122604,-0.04007654969989982,-0.6912189839265128,1.164186549110699,0
42.074147463,102.074147463,1.4509260253927234,-0.16063525830072267,-0.739321188220857,1.9130230326911155,0
43.074147463,103.074147463,1.7206541887696147,-0.08748188843232452,-0.5631250880331349,2.2949948719764066,0
44.074147463,104.074147463,1.4602709060802308,0.2210680458935963,-0.4006175982736364,1.5581232138203944,0
45.074147463,105.074147463,1.6847958782406716,-0.06161662341132779,-0.5450631540858337,1.7274218779854227,0
46.074147463,106.074147463,1.4080736384050443,-0.14725629008269703,-0.562549084329568,-0.18738004675094455,0
47.074147463,107.074147463,1.7626955221658296,-0.07228645496957675,-0.5729601378689924,2.670412489945835,0
48.074147463,108.074147463,1.4553051568081843,0.18098868831774872,-0.5262119941195444,3.2531536121371945,0
49.074147463,109.074147463,1.7971696767419179,-0.10783669588529232,-0.5026115118954562,0.10643044891877995,0
50.074147463,110.074147463,1.9125229434330286,-0.11215797341795408,-0.47838278460673767,1.0160287580735972,0
51.074147463,111.074147463,1.41306887994537,-0.13568154004828914,-0.6629081516492197,2.6138272720465814,0
52.074147463,112.074147463,1.8319516251814463,-0.04690978369913479,-0.2288926945558596,2.614257778525306,0
53.074147463,113.074147463,1.4488998650593023,0.14888708994985578,-0.4261811557032793,1.1770593470326531,0
