Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,MAX Amplitude,Total Power,Label
0.078132391,10.078132391,1.4258419841625671,1.3804543138406442,-1.4177742493351135,1.0598349987312572,48715.16761448748,5391384163.0,0
1.078132391,11.078132391,1.8372462136434415,1.4890353287985487,-0.9375998695312139,1.8732310980606173,42832.873782561226,4945686462.000001,0
2.078132391,12.078132391,1.1228742703137902,1.3099715389302249,-1.6308621574638817,1.1209678573383928,45802.556319823045,5506321863.0,0
3.078132391,13.078132391,1.46354132156065,1.5534371511883742,-1.9776173126335908,1.0475373628710907,42520.792922023975,6042423642.000002,0
4.078132391,14.078132391,1.5170206798994903,1.41578338681306,-1.254738003010918,1.5134499771306678,46090.27054782902,7217171184.000001,0
5.078132391,15.078132391,1.2891432368224076,1.7381001077397944,-1.5751551655966773,1.534627570097395,41919.91749269635,7774349649.0,0
6.078132391,16.078132391,1.8509287360852722,1.4733919853535853,-1.1584290845114809,1.7441818868961014,47768.77028513402,8718784154.000002,0
7.078132391,17.078132391,0.36373171091258877,1.1368037083313551,-1.4575326697785098,0.9904229174031968,54029.556208577334,9125158562.000002,0
8.078132391,18.078132391,1.8485271892038766,1.1944547232060554,-1.5005009564438958,1.6706670787194258,55979.27085265313,9517586379.0,0
9.078132391,19.078132391,1.1679451854598124,1.3391675203069893,-1.2861180329835833,1.3484077179029537,48102.031983500594,11389121639.000002,0
10.078132391,20.078132391,1.3149967718638693,1.5215787468865645,-1.5771073139604463,1.350756660635805,56006.302977147876,13171144309.999998,0
11.078132391,21.078132391,1.5516252576997354,1.4151766343745782,-1.7812334564797283,1.2678941629317677,68768.9284217445,14682900416.000002,0
12.078132391,22.078132391,0.536440969392775,1.2604667504370872,-1.2705040670404497,0.9081849803311643,87341.56380378337,18123837301.999996,0
13.078132391,23.078132391,1.2943746128537073,1.4398830017986968,-1.4380023712242698,1.4617849315926972,101139.60451067542,20776336478.000004,0
14.078132391,24.078132391,1.5037378162770128,1.4265453369577523,-1.431981335647774,1.5169907234951545,117043.21371289236,25282871606.000004,0
15.078132391,25.078132391,1.1713023364271327,1.215560704191304,-1.7384193938641557,1.026939190053206,127551.02763550899,29107439150.00001,0
16.078132391,26.078132391,1.7449935066946851,1.2338154143204896,-1.7064750786366674,1.2873782261117996,130000.04427970572,30359807001.0,0
17.078132391,27.078132391,1.8760534736265189,0.8088890882561732,-1.240497450380768,1.37102776620517,136802.0529351024,31641058445.999996,0
18.078132391,28.078132391,1.6778451107831913,1.163513296151256,-1.6559718380226442,1.1048209915074882,137718.35502832555,31900441992.000004,0
19.078132391,29.078132391,1.994463280241669,1.1528995633955026,-1.3979712960301496,1.508267842872809,131051.4834259447,30445206267.000004,0
20.078132391,30.078132391,1.5748692002014184,1.0942580123676053,-1.5356053314296525,0.9771600786538678,122614.983607234,28087340534.000004,0
21.078132391,31.078132391,1.8100110747095544,1.0174831994464855,-1.3088520980510279,1.3591153515563852,115503.4340897158,26611578620.999996,0
22.078132391,32.078132391,2.0757147236448383,1.438668008534226,-0.6403332654275325,2.2313257655945797,102193.76020721918,22536411827.000004,0
23.078132391,33.078132391,0.5664448933511383,1.611332851528313,-1.294783822439939,1.1902008490513176,89354.65575760728,19217697018.0,0
24.078132391,34.078132391,1.0926423952984787,1.3806056547988523,-0.8353739718177561,1.490825029737302,67729.62873839973,14100659489.000004,0
25.078132391,35.078132391,1.0686927632282395,1.4896682776574797,-1.1716525037645824,1.3190680644973445,44038.97778839435,10141941689.999998,0
26.078132391,36.078132391,0.2251851294170354,1.3819865649879444,-1.1743418549004934,0.9221543129250481,46403.71568546019,9636275161.999998,0
27.078132391,37.078132391,1.8935790450642878,1.5386590627764067,-0.9044436624008882,2.121239266148782,55127.67265942675,8972714349.0,0
28.078132391,38.078132391,0.8984500082299142,1.2877074430659603,-1.311687132996715,1.3239765693280081,63662.09770480155,10738633393.999998,0
29.078132391,39.078132391,1.7172912206606878,1.2550991437113461,-1.283073193829302,1.4979086653968452,59452.719593124035,12691143659.000002,0
30.078132391,40.078132391,2.0405926210699845,0.852186420291582,-0.9423588038110626,1.644214665096818,52652.06030376402,14896567057.999998,0
31.078132391,41.078132391,1.1797784981351922,1.139196379080326,-1.6178087202224485,1.0015929436213293,65927.012575835,16659566759.0,0
32.078132391,42.078132391,1.4579197843997467,1.2206439577163606,-1.3369942249618842,1.1971255500590499,70513.70689707846,19944196793.0,0
33.078132391,43.078132391,2.3830185070729173,0.638733248443229,-1.4298489489021557,1.5704536173792625,76581.33439169996,21673499888.0,0
34.078132391,44.078132391,0.7968690725579344,1.0675819829067383,-1.6475350441807461,0.9652419612684155,85256.71766351021,23520359200.999996,0
35.078132391,45.078132391,1.6174550829532777,1.0074046277067066,-1.6356872054837786,1.3160215325698235,93211.19366811935,23963777552.000004,0
36.078132391,46.078132391,1.823552631459134,1.3506345692344006,-1.7129803945603501,1.5530950891649076,83498.28685507753,23223628126.999996,0
37.078132391,47.078132391,0.9348852542824513,1.4282327181864496,-1.4067699352111096,1.214363059068983,79851.64736590313,23317270717.999992,0
38.078132391,48.078132391,0.8529535091397095,1.4758740995351782,-1.7409187295710737,1.0432600639631262,93263.35858066105,22378407640.999996,0
39.078132391,49.078132391,1.4221712999308904,1.0733256931862747,-1.4546873743920847,1.1873469517567377,93767.34722597625,21580328962.999992,0
40.078132391,50.078132391,0.5051810830720292,1.3960926919452203,-1.5779206512987964,0.8707224145998645,81208.59111830096,20646122794.999996,0
