Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,MAX Amplitude,Total Power,Label
642.75,652.75,0.7776650298871246,1.134701013377687,-1.2592624319958106,0.8751135919750334,43255.05558223239,3404171441.000001,1
643.75,653.75,1.9147400038248723,1.4814339258105302,-1.3061648111424982,1.7444248059079455,39450.942520072196,3122991315.0,1
644.75,654.75,1.4552528849484034,1.5393150776190971,-1.6641311950369009,1.3372077815423626,32151.868172142455,3078654107.0,1
645.75,655.75,0.8640302270786938,1.234800155861815,-1.2737357217674847,1.0537970752787353,30644.515417092698,3113033260.999999,1
646.75,656.75,1.5557973252733939,1.1485836388120283,-1.398818562642073,1.3254647715476882,35554.740610009016,2986516966.9999995,1
647.75,657.75,0.9452452473868785,1.1530780939040541,-1.3774901955566756,0.9981997336471479,36788.50451907404,2929816271.0000005,1
648.75,658.75,2.0836961225611232,1.0072287318972422,-1.7186841034589724,1.4200384352652946,35591.46498379044,2937852859.9999986,1
649.75,659.75,1.8003043305131614,1.33667876721147,-1.1633315171983332,1.6578232956085024,33519.55554681354,2932071044.0000014,1
650.75,660.75,0.9752223930153864,1.3564055532876913,-1.4861949054190267,0.9741951610946834,31458.381625331363,2927792111.9999995,1
651.75,661.75,1.0648626836727069,1.1541104800675497,-1.3630999360304075,1.1178451487508394,28997.793811366482,2991539810.000001,1
652.75,662.75,2.2295197339147643,0.983029930814028,-1.0026526482478177,2.03766011509218,29350.64782201679,2826971422.9999995,1
653.75,663.75,1.120422557221697,1.2237872468629858,-1.4868786410489645,1.106848301307361,31002.972523576584,2893377658.9999995,1
654.75,664.75,1.3417725009319013,1.3782302330338778,-1.4174689691900022,1.2865266996314488,32130.994615460924,2790030689.0,1
655.75,665.75,0.7040292768408376,1.1194891381271965,-1.210764967600181,0.8746492455040314,35328.29652081801,2643393527.0000005,1
656.75,666.75,0.9185197090451093,1.3559556427757244,-1.4674566974756273,1.1798656255358815,37175.62757563927,2613411704.0,1
657.75,667.75,1.5157505649721144,1.1413576807594277,-1.4191146940852746,1.179440347505295,37636.9293413541,2531510463.0,1
658.75,668.75,1.8250426596954132,1.2685687441456366,-1.2409933066738073,1.659063354605972,36062.76128120552,2355582292.999999,1
659.75,669.75,1.1522908484068812,1.4063095493746742,-1.4407856832876618,1.3724386790328065,34517.58635067499,2291504258.0,1
660.75,670.75,1.0744190686509598,1.1502607431011729,-0.9957242429540738,1.1338777242564169,32880.39367390045,2322010914.0,1
661.75,671.75,1.8757559118791396,1.205322638954726,-1.3256682541594436,1.6709128962147737,28789.995567827766,2159480342.0,1
662.75,672.75,0.9325405106746856,1.4003552131640427,-1.2695635975384225,1.212394974558121,23436.461210115904,2230450199.0,1
663.75,673.75,1.2005345362258715,1.5189889119634323,-1.6495225185789912,1.1921901751037258,26760.336364473133,2146394519.0000002,1
664.75,674.75,1.6296887543380654,1.2229679865679155,-1.7705399173913812,1.1617063609669518,29265.367627860596,2266744190.0000005,1
665.75,675.75,2.1645727485510604,1.4019659884789402,-1.5846381843978752,1.768562663297499,26099.775835903773,2342914675.9999995,1
666.75,676.75,2.0274501333286725,1.1019910371667963,-1.25962723598595,1.733704098534916,22123.63200057711,2293229732.0000005,1
667.75,677.75,1.053349649910616,1.251406859238091,-1.3102350512579133,1.1488555970143794,25905.954549877555,2387785814.0,1
668.75,678.75,2.02206557042802,1.0530862020054872,-1.4257950712229577,1.4727232955875031,29368.72131997656,2332585982.0,1
669.75,679.75,0.9623390829664278,1.2509369462146427,-1.2604113881857864,1.2139176380274104,30146.13778508226,2489050928.0,1
670.75,680.75,1.9101495997039626,1.3029461012893135,-1.350708752596335,1.6430278680797672,26612.821460887462,2393762472.0,1
671.75,681.75,0.7993135634785056,1.1944746951108942,-1.3672071370469143,1.1047840423774524,26598.450853563383,2581950331.9999995,1
672.75,682.75,2.159322709842324,0.9186657098007873,-1.2580182105427185,1.7913147785599137,32897.671895885396,2520279137.9999995,1
673.75,683.75,1.3978884659670765,1.1077236043391696,-0.999073983914483,1.314215723554064,39520.90587952949,2762628110.000001,1
674.75,684.75,1.4836184989887746,1.4857058238519194,-1.3764923318690157,1.4616342854185758,39309.68623001651,2687958908.0,1
675.75,685.75,2.0331927982573483,1.230625523687676,-1.764207263916079,1.3673115458160812,34834.01382213687,2644506583.999999,1
676.75,686.75,0.18843630488383736,1.2277979213137713,-1.1521565374639025,0.895032218618952,32382.153303304054,2728555145.000001,1
677.75,687.75,1.9801197158938255,1.2776372394149897,-1.1490429588605457,1.9403116151181508,26394.70656861833,2775783156.0000005,1
678.75,688.75,1.3800153395385466,1.3641664746218345,-1.3629542060728506,1.116420732432876,28696.05729571704,2970565972.9999995,1
679.75,689.75,0.8198145737488586,1.4324087511393084,-1.7416764879871354,0.9723567439600436,34693.90826396299,2885327805.0000005,1
680.75,690.75,1.259294994487134,1.160814042887025,-1.5387868918617578,0.9659449772151312,37910.894365573076,3005873784.0,1
681.75,691.75,1.2332570866122323,1.3696730060181923,-1.4996308740845943,1.2352584196713392,38719.7988379698,3015474371.0000005,1
682.75,692.75,1.3276779683114406,1.162525525612011,-1.605619912553125,1.0434864552420304,38515.164986347976,3113135149.9999995,1
683.75,693.75,0.8623518366082893,1.1675295788462985,-1.303191334790488,1.0575867266961836,34728.81751833705,3038190089.0,1
684.75,694.75,0.8211769595496466,1.328277538821444,-1.3349884919607384,1.012170155190157,28427.67407502058,3296258423.0000005,1
685.75,695.75,1.8959927360262248,1.287738590375442,-1.4986392006305367,1.5546699477522423,23602.63347958656,3450021011.0000005,1
