Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label
642.753196,702.753196,85,0.706983417,0.084512095,492.4827731,0.564022407,1
643.753196,703.753196,85,0.703444651,0.079439269,491.9647059,0.563456206,1
644.753196,704.753196,86,0.700711764,0.075535154,492.0099863,0.561627512,1
645.753196,705.753196,86,0.698539941,0.074980855,492.2209302,0.560374327,1
646.753196,706.753196,87,0.695616017,0.074280736,492.9248864,0.557430457,1
647.753196,707.753196,86,0.691901434,0.069598263,493.1549051,0.554955499,1
648.753196,708.753196,87,0.689083083,0.070771134,493.6436782,0.551378352,1
649.753196,709.753196,87,0.686533181,0.070183549,493.5517241,0.549047023,1
650.753196,710.753196,88,0.684443537,0.065778411,493.6022727,0.546985259,1
651.753196,711.753196,88,0.681430054,0.066093458,493.3977273,0.543239221,1
652.753196,712.753196,88,0.678326843,0.069465118,493.0340909,0.539908826,1
653.753196,713.753196,89,0.67662309,0.068211923,492.2921348,0.536999935,1
654.753196,714.753196,89,0.672162482,0.071649603,491.7865169,0.535947906,1
655.753196,715.753196,89,0.671993011,0.068588431,491.5168539,0.533026181,1
656.753196,716.753196,90,0.671029598,0.064880221,490.9993758,0.53327721,1
657.753196,717.753196,89,0.667344702,0.067779899,490.2519351,0.532314281,1
658.753196,718.753196,90,0.66518539,0.067383172,488.6,0.528631179,1
659.753196,719.753196,91,0.662809443,0.067115524,487.5318681,0.524871134,1
660.753196,720.753196,90,0.663189092,0.063972987,487.2334554,0.526171159,1
661.753196,721.753196,91,0.6618505,0.06669715,486.0142857,0.524325326,1
662.753196,722.753196,91,0.662888352,0.067151967,485.4395604,0.523242674,1
663.753196,723.753196,90,0.663646427,0.065466066,485.6111111,0.526862811,1
664.753196,724.753196,91,0.662841758,0.065259881,485.1318681,0.52739887,1
665.753196,725.753196,90,0.661493934,0.062431955,485.2167277,0.525353861,1
666.753196,726.753196,91,0.660029409,0.065588995,484.7362637,0.524904919,1
667.753196,727.753196,91,0.659866278,0.063751096,484.7472527,0.52336999,1
668.753196,728.753196,91,0.661445074,0.061973357,485.5274725,0.524429528,1
