Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label
2.670960903,62.6709609,79,0.753975783,0.047284616,560.2658228,0.62324788,0
3.670960903,63.6709609,80,0.753414453,0.046751538,560,0.624840154,0
4.670960903,64.6709609,80,0.754435093,0.046439401,560.6875,0.627249147,0
5.670960903,65.6709609,79,0.753593919,0.044771986,562.2661392,0.628252968,0
6.670960903,66.6709609,80,0.753156037,0.045093302,561.6433544,0.628734332,0
7.670960903,67.6709609,80,0.752526999,0.046303903,562.8125,0.628104684,0
8.670960903,68.6709609,79,0.753980199,0.045019216,563.3164557,0.629507114,0
9.670960903,69.6709609,80,0.754181774,0.044596063,563.2773734,0.629617407,0
10.6709609,70.6709609,79,0.75533243,0.043682013,563.3422468,0.630038642,0
11.6709609,71.6709609,79,0.75499063,0.044135024,562.1518987,0.630781711,0
12.6709609,72.6709609,80,0.755699109,0.043406372,561.35,0.631787255,0
13.6709609,73.6709609,79,0.75666906,0.04318439,560.7974684,0.63296433,0
14.6709609,74.6709609,79,0.757130293,0.043620656,560.3924051,0.633931242,0
15.6709609,75.6709609,79,0.75768534,0.047590275,559.6202532,0.633137012,0
16.6709609,76.6709609,79,0.757823073,0.044479482,559.8580696,0.63509017,0
17.6709609,77.6709609,79,0.758970838,0.046331967,559.2911392,0.636027647,0
18.6709609,78.6709609,80,0.756706567,0.046548752,558.4814873,0.635820307,0
19.6709609,79.6709609,79,0.754488205,0.046251124,557.5753165,0.635565923,0
20.6709609,80.6709609,79,0.754747592,0.045776003,556.3544304,0.635261321,0
21.6709609,81.6709609,80,0.753353786,0.046634959,554.95,0.634426832,0
22.6709609,82.6709609,79,0.753329399,0.046993738,554.393038,0.634429518,0
23.6709609,83.6709609,80,0.751644436,0.047126997,552.1125,0.633156695,0
24.6709609,84.6709609,80,0.7512615,0.044211822,551.6125,0.633539127,0
25.6709609,85.6709609,79,0.750515452,0.044510536,550.3537975,0.633539694,0
26.6709609,86.6709609,80,0.750130361,0.043910895,548.15,0.632792122,0
27.6709609,87.6709609,80,0.749371097,0.043906338,546.025,0.631780153,0
28.6709609,88.6709609,80,0.749359846,0.047054169,545.2,0.630751664,0
29.6709609,89.6709609,80,0.749628646,0.047001165,544.3384259,0.631237247,0
30.6709609,90.6709609,80,0.749623483,0.043845621,543.2875,0.633176356,0
31.6709609,91.6709609,80,0.749629805,0.046998768,541.8625,0.632170052,0
32.6709609,92.6709609,80,0.751641192,0.045883082,542.0618671,0.634181574,0
33.6709609,93.6709609,80,0.75380121,0.045508135,542.1625,0.63621444,0
34.6709609,94.6709609,79,0.756153923,0.044469878,542.1012658,0.638574114,0
35.6709609,95.6709609,79,0.756915988,0.04059113,542.556962,0.640380627,0
36.6709609,96.6709609,79,0.757436184,0.040626422,543.0463608,0.64113718,0
37.6709609,97.6709609,79,0.756932323,0.044249676,542.6582278,0.639603134,0
38.6709609,98.6709609,80,0.754936692,0.045838606,541.3125,0.638215858,0
39.6709609,99.6709609,79,0.753589074,0.04360416,540.464557,0.638471078,0
40.6709609,100.6709609,80,0.751640769,0.047912215,537.6658228,0.63543211,0
41.6709609,101.6709609,80,0.750632904,0.048558165,536.9625,0.634929873,0
42.6709609,102.6709609,80,0.750375675,0.045460813,536.2375,0.636070425,0
43.6709609,103.6709609,80,0.751903977,0.045759354,536.678481,0.638359865,0
44.6709609,104.6709609,80,0.753417534,0.047304867,537.35,0.63962533,0
45.6709609,105.6709609,79,0.754362057,0.047305534,537.6800633,0.639636696,0
46.6709609,106.6709609,79,0.754099186,0.047276863,538.2911392,0.639844966,0
47.6709609,107.6709609,80,0.754167692,0.046867332,538.7308544,0.639586829,0
48.6709609,108.6709609,80,0.753920864,0.04945217,538.2,0.638125158,0
49.6709609,109.6709609,79,0.752820406,0.04879928,536.9302215,0.637115032,0
50.6709609,110.6709609,79,0.752687855,0.048630825,535.6835443,0.63795883,0
51.6709609,111.6709609,80,0.753168196,0.045537209,535.9125,0.639134878,0
52.6709609,112.6709609,80,0.753672482,0.048654416,535.5,0.638356163,0
53.6709609,113.6709609,80,0.752156563,0.050660787,533.6643987,0.637881224,0
54.6709609,114.6709609,80,0.754044484,0.046084378,534.5,0.639644558,0
55.6709609,115.6709609,79,0.754355437,0.046011229,535.3411392,0.639899422,0
56.6709609,116.6709609,79,0.75385226,0.0457261,534.7341772,0.639385461,0
57.6709609,117.6709609,80,0.753919774,0.048274009,535.7169304,0.638109243,0
58.6709609,118.6709609,80,0.753421147,0.045357958,535.05,0.638888102,0
59.6709609,119.6709609,79,0.752810322,0.048361688,535.3924051,0.637051873,0
60.6709609,120.6709609,79,0.752307409,0.047877939,535.0632911,0.636564161,0
61.6709609,121.6709609,80,0.753922474,0.046706847,535.4781646,0.639416799,0
62.6709609,122.6709609,80,0.754560911,0.046853566,534.7875,0.639803058,0
63.6709609,123.6709609,79,0.7539754,0.047029563,535.0253165,0.638896385,0
64.6709609,124.6709609,79,0.754356696,0.050480918,534.9240506,0.637606471,0
65.6709609,125.6709609,80,0.754436049,0.050170263,534.7349684,0.637955871,0
66.6709609,126.6709609,79,0.756149701,0.047225345,534.5974684,0.639750187,0
67.6709609,127.6709609,79,0.755251117,0.047433706,532.9240506,0.639859354,0
68.6709609,128.6709609,80,0.756558111,0.048046628,532.7094937,0.640720043,0
69.6709609,129.6709609,79,0.758251178,0.04814318,533.8912975,0.641652552,0
70.6709609,130.6709609,79,0.759748663,0.047612671,533.7594937,0.643293904,0
71.6709609,131.6709609,80,0.757852413,0.049557446,533.3077532,0.641357166,0
72.6709609,132.6709609,79,0.758966507,0.047821348,534.721519,0.642010111,0
73.6709609,133.6709609,79,0.758761179,0.047610196,534.9240506,0.6412937,0
74.6709609,134.6709609,79,0.757954075,0.046687037,534.6075949,0.641048605,0
75.6709609,135.6709609,79,0.756927194,0.046855014,534.084019,0.640516239,0
76.6709609,136.6709609,79,0.756917424,0.046856536,533.5063291,0.640135584,0
77.6709609,137.6709609,80,0.755452585,0.048865558,532.7957278,0.63836557,0
78.6709609,138.6709609,79,0.758205215,0.045642841,533.819462,0.640130061,0
79.6709609,139.6709609,79,0.758457419,0.045265292,534.1139241,0.640889994,0
80.6709609,140.6709609,79,0.759036413,0.04442242,534.6835443,0.640624065,0
81.6709609,141.6709609,79,0.758971067,0.044475739,535.9493671,0.641403638,0
82.6709609,142.6709609,79,0.758455533,0.04492507,536.4683544,0.641143223,0
