Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label
5.620701551,65.620701551,90.0,0.66012091052809,0.051262006528925895,804.0947496947497,0.5072838786333338,0
6.620701551,66.620701551,91.0,0.6601142856444445,0.05097657349642537,807.7252747252747,0.5073062713444447,0
7.620701551,67.620701551,90.0,0.6621385397191011,0.05082878311238338,808.1888888888889,0.5089629984606744,0
8.620701551,68.620701551,90.0,0.6628050160786516,0.05053032556143709,809.4258852258852,0.5079707597555556,0
9.620701551,69.620701551,90.0,0.6628044911123594,0.05053035510815076,812.3777777777777,0.5082789621348316,0
10.620701551,70.620701551,90.0,0.6634874852808988,0.050087615799332,811.4697191697192,0.5079761056666667,0
11.620701551,71.620701551,91.0,0.663554014111111,0.048872719749678314,811.5297924297925,0.5079707385555554,0
12.620701551,72.620701551,90.0,0.6642664335955056,0.04867910243038299,814.5111111111112,0.5089625750561796,0
13.620701551,73.620701551,90.0,0.6648317480898877,0.04832601226661639,818.2222222222222,0.509875737444444,0
14.620701551,74.620701551,90.0,0.6661815938202248,0.04983914026894371,818.5333333333333,0.5100993923595502,0
15.620701551,75.620701551,89.0,0.6662583079545453,0.05011629565602709,818.861797752809,0.5101108444943816,0
16.620701551,76.620701551,90.0,0.6656160274157303,0.04950527585680478,821.9555555555555,0.5095449512359547,0
17.620701551,77.620701551,90.0,0.664944147752809,0.04834622204686094,816.7777777777778,0.5095398398876398,0
18.620701551,78.620701551,90.0,0.6648269503370786,0.04820719198511001,813.4199023199023,0.5092062843333327,0
19.620701551,79.620701551,90.0,0.664832985730337,0.048206616114145596,814.3444444444444,0.5095291671910105,0
20.620701551,80.620701551,90.0,0.6656161774157304,0.04855411625813573,814.5516483516483,0.510092769666666,0
21.620701551,81.620701551,90.0,0.6662935246067415,0.04888989617487863,813.1444444444444,0.5117793029213475,0
22.620701551,82.620701551,89.0,0.6655609743181817,0.04868123528839851,814.2631710362048,0.5124346728089881,0
23.620701551,83.620701551,90.0,0.6668479924719102,0.049903912546335465,812.9,0.513101130337078,0
24.620701551,84.620701551,89.0,0.6670456176136362,0.050311749296460054,814.6716604244693,0.5132078159550556,0
25.620701551,85.620701551,90.0,0.6676432711235954,0.05114695064040987,813.6330836454432,0.5133201244943816,0
26.620701551,86.620701551,90.0,0.6676323682022471,0.05113583416322517,813.6444444444444,0.5133091304494378,0
27.620701551,87.620701551,89.0,0.6669324419318182,0.050998791998498876,812.6734082397004,0.5131971888764041,0
28.620701551,88.620701551,90.0,0.6676438979775281,0.051148744191534666,814.2444444444444,0.5132980907865164,0
29.620701551,89.620701551,89.0,0.6683991930681819,0.05249485526470564,814.619975031211,0.5140705991011232,0
30.620701551,90.620701551,89.0,0.6684107861363636,0.052506196553729484,814.0112359550562,0.514457756704545,0
31.620701551,91.620701551,90.0,0.6695481069662922,0.05340564976944828,814.5777777777778,0.515308738876404,0
32.620701550999996,92.620701551,89.0,0.6703370918181819,0.05395576892055918,816.123595505618,0.5156986603409087,0
33.620701550999996,93.620701551,89.0,0.6711421067045454,0.05431513603825954,816.7977528089888,0.5158127869318178,0
34.620701550999996,94.620701551,89.0,0.6731816881818182,0.05571665757090359,818.8089887640449,0.5178577518181814,0
35.620701550999996,95.620701551,89.0,0.6737423673863637,0.056530269249244744,819.0,0.518418414772727,0
36.620701550999996,96.620701551,89.0,0.6737574177272727,0.05652658604075606,818.4720377936669,0.5199291759090906,0
37.620701550999996,97.620701551,89.0,0.6745395985227274,0.05681929634408822,820.370786516854,0.5207281165909089,0
38.620701550999996,98.620701551,88.0,0.6753995966666667,0.05801822392405536,820.659090909091,0.5218889328735631,0
39.620701550999996,99.620701551,89.0,0.6759156612500001,0.05788800744810538,821.2584269662921,0.522784246590909,0
40.620701550999996,100.620701551,88.0,0.6766719026436782,0.05838105304386622,822.590909090909,0.5225936655172414,0
41.620701550999996,101.620701551,89.0,0.6778352993181819,0.05837375010537591,823.7419560776302,0.5227777986363635,0
42.620701550999996,102.620701551,88.0,0.6788519166666666,0.058898052060270635,824.3181818181818,0.5225680833333332,0
43.620701550999996,103.620701551,88.0,0.6788457451724138,0.058900004440069716,824.125,0.5218745398850574,0
44.620701550999996,104.620701551,88.0,0.6802267314942528,0.05844551624509493,825.1363636363636,0.5232496305747126,0
45.620701550999996,105.620701551,89.0,0.6798829739772727,0.05818144543465527,823.6233401430031,0.5227412497727273,0
46.620701550999996,106.620701551,88.0,0.6809257090804598,0.05771335788636815,824.5568181818182,0.5226715377011494,0
47.620701550999996,107.620701551,88.0,0.6822950516091955,0.056473930574975635,825.6590909090909,0.52287772375,0
48.620701550999996,108.620701551,88.0,0.6836755849425288,0.0559138862901959,825.1022727272727,0.5247452562068966,0
49.620701550999996,109.620701551,88.0,0.6849358411494253,0.054734976708097224,825.1524294670846,0.5261089018390804,0
50.620701550999996,110.620701551,87.0,0.6867431847674419,0.05440168508962286,825.937304075235,0.5269153812643679,0
51.620701550999996,111.620701551,87.0,0.6874385988372093,0.0536675447723737,828.0229885057471,0.5281559297674419,0
52.620701550999996,112.620701551,87.0,0.6888356510465116,0.052935584107666585,828.7471264367816,0.528862631976744,0
53.620701550999996,113.620701551,86.0,0.6897615596470589,0.05241554068446796,827.27479283614,0.5288564075581393,0
54.620701550999996,114.620701551,87.0,0.6901115376744186,0.05140520863069066,827.471264367816,0.5288459166279068,0
55.620701550999996,115.620701551,86.0,0.6918860263529412,0.050742517834196664,827.0604116546378,0.5295477506976741,0
