Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label
0.075069427,60.075069427,89.0,0.6752899289090908,0.09427429798580601,3030.9565378441785,0.5302371495333328,0
1.075069427,61.075069427,89.0,0.6711412045,0.08697121801011516,3035.1543722520764,0.5298009724175818,0
2.075069427,62.075069427,89.0,0.6714776916477272,0.08679146258438637,3039.5246326707,0.5302531658999994,0
3.075069427,63.075069427,89.0,0.67204400625,0.08648538893761847,3046.9323373255957,0.5312392121999995,0
4.075069427,64.075069427,90.0,0.672139274977528,0.08599741692488289,3048.4655677655674,0.5315469877472522,0
5.075069427,65.075069427,89.0,0.672844030590909,0.08638850862618012,3049.8162736140266,0.5321178403444439,0
6.075069427,66.075069427,88.0,0.6736822813908045,0.08679218495737133,3046.9650349650346,0.5325825393777772,0
7.075069427,67.075069427,89.0,0.6732901849431818,0.08636919523870777,3052.5056179775283,0.5324738735111106,0
8.075069427,68.075069427,89.0,0.6734076576136364,0.08637863799920237,3053.9380170391405,0.532778621538461,0
9.075069427,69.075069427,89.0,0.6737475368295455,0.08618778080892733,3055.2303988146687,0.5328112411666661,0
10.075069427,70.075069427,89.0,0.6734158451136364,0.08621841595560484,3057.8055315471047,0.5327867015384612,0
11.075069427,71.075069427,89.0,0.6728386717045454,0.08627143690830734,3052.828867761452,0.5323723921111108,0
12.075069427,72.075069427,89.0,0.674214084090909,0.08562423853957828,3047.2918878873934,0.5337351716666663,0
13.075069427,73.075069427,89.0,0.6743182729545455,0.08563669811318253,3045.1665637733054,0.5342948168888885,0
14.075069427,74.075069427,89.0,0.6746616635227273,0.08559963466540073,3039.915230961298,0.5350685169999996,0
15.075069427,75.075069427,89.0,0.6752239248863635,0.08553489734288636,3037.1882948512166,0.5360669795555552,0
16.075069427,76.075069427,89.0,0.6755764728409092,0.0853276051620139,3034.27213236202,0.5368647467777774,0
17.075069427,77.075069427,88.0,0.6770134958620688,0.08486047441165051,3030.3583916083917,0.537410656444444,0
18.075069427,78.075069427,89.0,0.6770480518181818,0.08416339466099583,3017.2904062229904,0.5392063828888886,0
19.075069427,79.075069427,88.0,0.6778199781609197,0.0842825460673784,3008.601767676768,0.5397646317977526,0
20.075069427,80.075069427,88.0,0.6778128448275862,0.08423464476992559,3003.5835414585417,0.5400902111111109,0
21.075069427,81.075069427,89.0,0.6778510836363636,0.08353002541422494,2995.883270911361,0.5408781686666666,0
22.075069427,82.075069427,88.0,0.6760967627586206,0.08213117085772162,2986.007070707071,0.5389793696629214,0
23.075069427,83.075069427,90.0,0.6712324458426967,0.06624925954306057,2998.3333333333335,0.542760072888889,0
24.075069427,84.075069427,89.0,0.6702314317045456,0.06567312512164492,2983.82808988764,0.5431250375280898,0
25.075069427,85.075069427,90.0,0.6702236191011237,0.06514967920831288,2981.667277167277,0.543199065111111,0
26.075069427,86.075069427,89.0,0.6714698185227274,0.06473354101464981,2977.8948813982524,0.5443474579775281,0
27.075069427,87.075069427,89.0,0.6711352656818182,0.06497450532647801,2978.937152734906,0.5441897288888891,0
28.075069427,88.075069427,90.0,0.6715743274157303,0.06437488188969934,2976.311111111111,0.5449597494444447,0
29.075069427,89.075069427,89.0,0.671590653409091,0.06468984186451715,2961.058155327818,0.5419578608888891,0
30.075069427,90.075069427,90.0,0.6693184670786517,0.06486840906670555,2966.1062271062274,0.5427361068888892,0
31.075069427,91.075069427,89.0,0.668294830681818,0.06507238186065861,2952.9350537103346,0.5414108227777779,0
32.075069427,92.075069427,90.0,0.6634908526966292,0.05039265256877725,2940.9054945054945,0.5365280024444445,0
33.075069427,93.075069427,90.0,0.6598935583146067,0.03931006117786258,2949.7239316239315,0.5378567172222223,0
34.075069427,94.075069427,91.0,0.6615479283333333,0.04018795527005453,2944.4175824175827,0.5401878204444447,0
35.075069427,95.075069427,90.0,0.6648373067415729,0.038436384756778796,2943.088888888889,0.5435755017977528,0
36.075069427,96.075069427,91.0,0.6651146015555556,0.03831309771331686,2962.7930402930406,0.5437599162222223,0
37.075069427,97.075069427,90.0,0.6657307148314607,0.037845277323243214,2948.3221001221,0.5414338224444445,0
38.075069427,98.075069427,91.0,0.6655509577777778,0.03779155263624914,2965.937973137973,0.5446521552222223,0
39.075069427,99.075069427,90.0,0.6657259250561798,0.03796613916169391,2958.239072039072,0.5415241486666669,0
40.075069427,100.075069427,91.0,0.6650044415555556,0.037442594386915766,2975.0034188034188,0.5440852624444449,0
41.075069427,101.075069427,90.0,0.6634806330337079,0.03555312853161165,2980.5666666666666,0.5425477762921352,0
42.075069427,102.075069427,91.0,0.6627854056666668,0.03497870441693365,2976.59072039072,0.5418534473333338,0
43.075069427,103.075069427,90.0,0.6612447108988764,0.0324093359370488,2975.6808302808304,0.5418609943333338,0
44.075069427,104.075069427,90.0,0.6612426240449438,0.032408133054933695,2974.166666666667,0.5406624173033713,0
45.075069427,105.075069427,91.0,0.6623367571111112,0.03383641792788229,2973.5934065934066,0.5413268135555559,0
46.075069427,106.075069427,90.0,0.6621420995505618,0.033978717593047617,2970.8888888888887,0.541016958314607,0
47.075069427,107.075069427,91.0,0.6628893215555556,0.034530550056382184,2971.1036630036633,0.5413358018888894,0
48.075069427,108.075069427,90.0,0.6630269922471911,0.03457212939370244,2970.5555555555557,0.5415599207865174,0
49.075069427,109.075069427,91.0,0.66366615,0.03437772337533949,2946.7692307692305,0.5388912147252753,0
50.075069427,110.075069427,90.0,0.6634890951685394,0.03451321424443314,2938.807081807082,0.5390989688888896,0
