Time start,Time end,AMI,FNN,Lyapunov,ARE,DFA,Label
0.078132391,59.91029,0.16373296921653857,6.55884995507637,0.18880561760652695,590.387637913436,0.2079952698953355,0
0.94963026,60.87981033,0.17164945507941543,6.255430060816682,0.18904242114143782,590.0529464752118,0.21204463259388578,0
1.909578323,61.83956242,0.16477307314985445,6.081668114682884,0.1878728472289759,591.528788863572,0.2069412826696409,0
2.869968891,62.8099401,0.16405931678385421,6.055508830950378,0.18811652053196076,603.316014635982,0.20544454394783682,0
3.839673281,63.76946259,0.1470947060012815,5.8031959629941126,0.1879441198558707,610.3800788193446,0.20769751516024093,0
4.799758673,64.72969151,0.1466933231035119,5.8031959629941126,0.1873401783690111,623.7792426274721,0.2130950132993354,0
5.82523632,65.70034122,0.14007867672589214,5.994787141615986,0.18904842496908517,638.0302366019025,0.21326424229032395,0
6.726109028,66.65991092,0.14129276760330356,6.168549087749783,0.1889071486069551,642.4888468154285,0.2142159769799445,0
7.690055132,67.6296463,0.13044474879041967,6.139613120269134,0.18720839488575908,650.9796521937427,0.21539048433011107,0
8.659501076,68.58987331,0.14436280953048453,5.750224618149147,0.18737567644147274,638.2411928544575,0.21984427880739,0
9.620059967,69.54975986,0.1462305043829506,5.750224618149147,0.1878009114993286,640.246487858517,0.22191898511341268,0
10.58990097,70.52040267,0.15168679810830277,5.570530098831986,0.18751933830135092,638.3462227594213,0.22449879623396632,0
11.55010915,71.47948384,0.14677129762843144,5.386620330147697,0.18694163748991344,643.1524748853354,0.2258064756864818,0
12.50961256,72.4504261,0.15067900454864258,5.473501303214596,0.18766049478052324,647.6402692108851,0.22440957499917563,0
13.48039222,73.4100945,0.16253794363393492,5.386620330147697,0.18694728848891337,645.9602472730538,0.22577581515244624,0
14.4400034,74.37036228,0.15834645931965152,4.895738893925658,0.1870343912179585,682.9858181253263,0.22804316043338574,0
15.41013646,75.34043694,0.15993603180675997,5.901639344262295,0.18575870322125712,671.4833802510739,0.2291209845412061,0
16.36994815,76.30019307,0.16105502223163448,6.065573770491803,0.18554848335639657,665.2923149853247,0.22947472793637644,0
17.32953763,77.27010393,0.16219371741193545,6.065573770491803,0.18406026700776762,678.3295756893525,0.2288796105165671,0
18.30040741,78.23033071,0.1650258607499886,5.983606557377049,0.1836480991999749,684.6156585752452,0.23232424190823467,0
19.259655,79.18980861,0.17259202602990165,6.065573770491803,0.1834717736853931,664.6933987274491,0.23149271022253573,0
20.22991729,80.15967917,0.16420288212328682,6.475409836065574,0.18202889630195496,658.8291360428192,0.23200245904387773,0
21.1895144,81.12003422,0.16616744379195403,6.393442622950819,0.17870034400013118,647.0544392743997,0.2445848607499353,0
22.14996934,82.09031177,0.16167240983873565,6.885245901639345,0.18051511030523887,641.5519559483168,0.22950989252750792,0
23.11975265,83.04986143,0.1678337899494986,6.885245901639345,0.18108693750139396,635.175181855495,0.23568668535335513,0
24.07970405,84.02039361,0.18456475228563374,6.721311475409836,0.17906679732949654,621.2157520272277,0.24042463535478364,0
25.04951978,84.97956038,0.19291309508490295,5.3839364518976165,0.1890202951897963,630.8452362117624,0.23174885162405928,0
26.01010847,85.93977737,0.20216916447010913,52.254831782390845,0.1973816014309904,677.3806702250885,0.24282751893431487,0
26.96955132,86.91036367,0.20042102549843488,52.89906943450251,0.19591896835531553,671.791305222143,0.23441901325331677,0
27.94004178,87.87005591,0.19883150380680448,53.32856120257695,0.19509443098427492,676.4498405753936,0.2412856194446692,0
28.89963055,88.84030461,0.19285832560423,53.471725125268435,0.19381621042401478,671.5829553254579,0.23956395964505564,0
29.8695693,89.79997516,0.19000822077349078,52.75590551181102,0.19428492296600436,673.5664248818488,0.23943900946350666,0
30.83013725,90.75959802,0.19424268203411632,52.827487473156765,0.19456182873021188,675.3964661062197,0.24929400163173124,0
31.78960586,91.72988129,0.19356983883518453,52.5411596277738,0.19405260204973512,676.6825451210461,0.23877520328269877,0
32.75980616,92.69001555,0.19743776195794638,52.827487473156765,0.19252892946167224,665.4725118415677,0.24992961861555815,0
33.71987319,93.66017842,0.197351084999986,52.5411596277738,0.19217931735523267,664.5811341558959,0.24718942301013655,0
34.68948889,94.61959815,0.20769146292065166,52.32641374373658,0.19304476383987695,668.4452450662648,0.2426707486070253,0
35.64976239,95.57967019,0.22741475906104602,52.827487473156765,0.19269946454199482,654.4439277031721,0.2572467831906114,0
36.61006188,96.55085874,0.2450850062913319,2.7916251246261217,0.19428017476480203,638.2524854269687,0.24940032386522537,0
37.57964396,97.50943208,0.2537381608208067,2.7916251246261217,0.19394208692520903,633.6947357618592,0.25257852011020976,0
38.53972244,98.48021269,0.26001511505101993,3.489531405782652,0.19461344220559157,627.7218321439087,0.25392847256938905,0
39.50953126,99.43966794,0.26205032396930195,3.788634097706879,0.19351319562020802,626.5549789436643,0.2492475802119137,0
40.47023249,100.3996215,0.269873329880582,53.47670250896057,0.19419760190463384,636.4177829888089,0.26102349485072984,0
41.4397161,101.3693945,0.2651523640740838,53.04659498207885,0.19313663991282398,630.1834708016863,0.2499191609785392,0
42.39953327,102.3301654,0.26177909761211016,6.474190726159231,0.1936635028125127,614.9829244649166,0.2521197590624799,0
43.35985541,103.2998204,0.2654087155590976,6.347826086956522,0.1930346727525977,618.2724898436576,0.25053418813537265,0
44.33034444,104.2595749,0.27199165237449785,6.58882402001668,0.19296052568185298,600.3430668759808,0.2461730762955749,0
45.2897768,105.2200623,0.2777140877550499,52.83154121863799,0.19232827151314086,606.3372714546949,0.256589883538631,0
