Time (real),IR Value raw,IR Value filtered,Time (s)
2025-05-05 23:09:33,27408,1,6.293254375457764
2025-05-05 23:09:34,27414,7,6.353062868118286
2025-05-05 23:09:34,27409,2,6.413381814956665
2025-05-05 23:09:34,27411,4,6.47271728515625
2025-05-05 23:09:34,27418,10,6.533509969711304
2025-05-05 23:09:34,27412,4,6.592844009399414
2025-05-05 23:09:34,27417,8,6.653649091720581
2025-05-05 23:09:34,27410,1,6.7129716873168945
2025-05-05 23:09:34,27417,8,6.773300647735596
2025-05-05 23:09:34,27409,0,6.835094213485718
2025-05-05 23:09:34,27416,6,6.893422842025757
2025-05-05 23:09:34,27419,9,6.95422887802124
2025-05-05 23:09:34,27416,5,7.0135486125946045
2025-05-05 23:09:34,27423,12,7.074878454208374
2025-05-05 23:09:34,27417,5,7.1336822509765625
2025-05-05 23:09:34,27416,4,7.195006608963013
2025-05-05 23:09:34,27413,1,7.253810405731201
2025-05-05 23:09:34,27419,7,7.315137147903442
2025-05-05 23:09:35,27413,1,7.3754658699035645
2025-05-05 23:09:35,27411,-1,7.434268236160278
2025-05-05 23:09:35,27425,12,7.495595216751099
2025-05-05 23:09:35,27425,11,7.55540657043457
2025-05-05 23:09:35,27426,12,7.615730047225952
2025-05-05 23:09:35,27422,7,7.675063371658325
2025-05-05 23:09:35,27427,11,7.735858201980591
2025-05-05 23:09:35,27420,4,7.797179460525513
2025-05-05 23:09:35,27425,9,7.855995178222656
2025-05-05 23:09:35,27425,8,7.916314125061035
2025-05-05 23:09:35,27421,4,7.975640296936035
2025-05-05 23:09:35,27433,15,8.0364351272583
2025-05-05 23:09:35,27427,8,8.09576678276062
2025-05-05 23:09:35,27429,10,8.156571626663208
2025-05-05 23:09:35,27424,5,8.215894222259521
2025-05-05 23:09:35,27428,8,8.276217460632324
2025-05-05 23:09:36,27422,2,8.338015794754028
2025-05-05 23:09:36,27430,9,8.396353244781494
2025-05-05 23:09:36,27428,7,8.458144426345825
