Time (real),IR Value raw,IR Value filtered,Time (s),Label
5/6/2025 1:02,120184,-480,0.076048613,0
5/6/2025 1:02,120517,-138,0.076316357,0
5/6/2025 1:02,120712,53,0.076488733,0
5/6/2025 1:02,120890,217,0.110553741,0
5/6/2025 1:02,120949,259,0.14991188,0
5/6/2025 1:02,120954,247,0.190504551,0
5/6/2025 1:02,120993,268,0.229935169,0
5/6/2025 1:02,121122,373,0.270354033,0
5/6/2025 1:02,121281,498,0.309926271,0
5/6/2025 1:02,121381,561,0.349981308,0
5/6/2025 1:02,121432,574,0.390111923,0
5/6/2025 1:02,121485,588,0.430254459,0
5/6/2025 1:02,121543,605,0.469925642,0
5/6/2025 1:02,121585,607,0.510725975,0
5/6/2025 1:02,121580,564,0.550525188,0
5/6/2025 1:02,121046,29,0.590674877,0
5/6/2025 1:02,119859,-1086,0.630976439,0
5/6/2025 1:02,119799,-1074,0.669947863,0
5/6/2025 1:02,120240,-594,0.71029973,0
5/6/2025 1:02,120548,-268,0.749922037,0
5/6/2025 1:02,120755,-57,0.790697813,0
5/6/2025 1:02,120971,149,0.830703735,0
5/6/2025 1:02,121018,184,0.952121973,0
5/6/2025 1:02,121007,162,0.952283382,0
5/6/2025 1:02,121100,239,0.952402115,0
5/6/2025 1:02,121220,337,0.9898386,0
5/6/2025 1:02,121340,428,1.029947281,0
5/6/2025 1:02,121432,488,1.070410967,0
5/6/2025 1:02,121498,519,1.110692978,0
5/6/2025 1:02,121544,530,1.150771856,0
5/6/2025 1:02,121580,531,1.190712452,0
5/6/2025 1:02,121607,523,1.230176687,0
5/6/2025 1:02,121628,510,1.26981926,0
5/6/2025 1:02,121525,381,1.312685013,0
5/6/2025 1:02,120346,-748,1.349900246,0
5/6/2025 1:02,119558,-1440,1.389854193,0
5/6/2025 1:02,119805,-1118,1.430808544,0
5/6/2025 1:02,120196,-682,1.470787764,0
5/6/2025 1:02,120393,-454,1.5102911,0
5/6/2025 1:02,120590,-241,1.554539204,0
5/6/2025 1:02,120805,-25,1.59259367,0
5/6/2025 1:02,120886,53,1.630314589,0
5/6/2025 1:02,120893,56,1.670683384,0
5/6/2025 1:02,120967,122,1.710804939,0
5/6/2025 1:02,121127,265,1.749887466,0
5/6/2025 1:02,121301,411,1.790838718,0
5/6/2025 1:02,121435,511,1.832838297,0
5/6/2025 1:02,121504,544,1.869833469,0
5/6/2025 1:02,121561,563,1.910619974,0
5/6/2025 1:02,121646,608,1.949903011,0
5/6/2025 1:02,121689,610,1.989955425,0
5/6/2025 1:02,121705,587,2.029963493,0
5/6/2025 1:02,121089,-27,2.069833279,0
5/6/2025 1:02,119732,-1298,2.110821247,0
5/6/2025 1:02,119537,-1399,2.150676966,0
5/6/2025 1:02,119806,-1060,2.190263271,0
5/6/2025 1:02,119992,-819,2.229921103,0
5/6/2025 1:02,120139,-630,2.270278692,0
5/6/2025 1:02,120522,-231,2.314624786,0
5/6/2025 1:02,120764,10,2.35456109,0
5/6/2025 1:02,120854,94,2.39415884,0
5/6/2025 1:02,120994,219,2.435657501,0
5/6/2025 1:02,121156,357,2.479979277,0
5/6/2025 1:02,121278,449,2.521179914,0
5/6/2025 1:02,121411,546,2.553573847,0
5/6/2025 1:02,121482,579,2.600513458,0
5/6/2025 1:02,121535,592,2.639817953,0
5/6/2025 1:02,121569,587,2.679834604,0
5/6/2025 1:02,121601,580,2.719965696,0
5/6/2025 1:02,121655,595,2.760055065,0
5/6/2025 1:02,121505,417,2.800670862,0
5/6/2025 1:02,120117,-910,2.839829206,0
5/6/2025 1:02,119437,-1491,2.879901409,0
5/6/2025 1:02,119661,-1188,2.920704126,0
5/6/2025 1:02,119981,-813,2.960317612,0
5/6/2025 1:02,120135,-618,3.000683784,0
5/6/2025 1:02,120393,-338,3.040518284,0
5/6/2025 1:02,120622,-102,3.080382347,0
5/6/2025 1:02,120640,-79,3.119891405,0
5/6/2025 1:02,120671,-45,3.159977674,0
5/6/2025 1:02,120808,87,3.199996948,0
5/6/2025 1:02,121008,269,3.240495443,0
5/6/2025 1:02,121186,419,3.279893398,0
5/6/2025 1:02,121319,517,3.319900274,0
5/6/2025 1:02,121389,551,3.360107422,0
5/6/2025 1:02,121442,566,3.400780678,0
5/6/2025 1:02,121537,620,3.435219288,0
5/6/2025 1:02,121585,626,3.480772734,0
5/6/2025 1:02,120809,-141,3.519904613,0
5/6/2025 1:02,119532,-1329,3.560339928,0
5/6/2025 1:02,119396,-1373,3.600025177,0
5/6/2025 1:02,119643,-1056,3.639841795,0
5/6/2025 1:02,119790,-852,3.680724621,0
5/6/2025 1:02,120002,-600,3.720728159,0
5/6/2025 1:02,120334,-251,3.760682583,0
5/6/2025 1:02,120437,-139,3.799855232,0
5/6/2025 1:02,120391,-173,3.839834213,0
5/6/2025 1:02,120457,-101,3.87984252,0
5/6/2025 1:02,120691,125,3.920080662,0
5/6/2025 1:02,120928,339,3.959852219,0
5/6/2025 1:02,121100,480,4.000087261,0
5/6/2025 1:02,121214,556,4.040753603,0
5/6/2025 1:02,121319,620,4.080799818,0
5/6/2025 1:02,121399,656,4.120797634,0
5/6/2025 1:02,121472,684,4.162451267,0
5/6/2025 1:02,121540,705,4.204090357,0
5/6/2025 1:02,121485,609,4.244385004,0
5/6/2025 1:02,120219,-616,4.279829502,0
5/6/2025 1:02,119210,-1523,4.319993019,0
5/6/2025 1:02,119171,-1464,4.360432386,0
5/6/2025 1:02,119298,-1254,4.399964094,0
5/6/2025 1:02,119346,-1130,4.440329313,0
5/6/2025 1:02,119517,-899,4.480471134,0
5/6/2025 1:02,119810,-568,4.520100594,0
5/6/2025 1:02,119911,-438,4.560402155,0
5/6/2025 1:02,119932,-391,4.599855423,0
5/6/2025 1:02,120055,-251,4.644668579,0
5/6/2025 1:02,120310,4,4.67986536,0
5/6/2025 1:02,120579,256,4.719825506,0
5/6/2025 1:02,120789,436,4.760136843,0
5/6/2025 1:02,120979,587,4.810415268,0
5/6/2025 1:02,121085,650,4.849886179,0
5/6/2025 1:02,121174,693,4.889889717,0
5/6/2025 1:02,121292,760,4.930449486,0
5/6/2025 1:02,121401,815,4.970436096,0
5/6/2025 1:02,121295,665,5.010366917,0
5/6/2025 1:02,119907,-678,5.049935102,0
5/6/2025 1:02,118996,-1490,5.089832306,0
5/6/2025 1:02,118977,-1414,5.130493879,0
5/6/2025 1:02,119082,-1228,5.170771599,0
5/6/2025 1:02,119108,-1126,5.210480452,0
5/6/2025 1:02,119322,-855,5.250772715,0
5/6/2025 1:02,119635,-508,5.290356398,0
5/6/2025 1:02,119721,-396,5.330190659,0
5/6/2025 1:02,119755,-339,5.369907141,0
5/6/2025 1:02,119901,-181,5.40997529,0
5/6/2025 1:02,120193,104,5.450281143,0
5/6/2025 1:02,120449,337,5.490758657,0
5/6/2025 1:02,120679,532,5.529944897,0
5/6/2025 1:02,120862,670,5.570397615,0
5/6/2025 1:02,121006,763,5.610410452,0
5/6/2025 1:02,121124,826,5.654298306,0
5/6/2025 1:02,121217,862,5.690757275,0
5/6/2025 1:02,121315,900,5.730508089,0
5/6/2025 1:02,121433,954,5.769891262,0
5/6/2025 1:02,121091,574,5.810446501,0
5/6/2025 1:02,119523,-932,5.850296259,0
5/6/2025 1:02,118941,-1419,5.889844656,0
5/6/2025 1:02,119089,-1192,5.930246353,0
5/6/2025 1:02,119223,-991,5.970645189,0
5/6/2025 1:02,119292,-865,6.010430098,0
5/6/2025 1:02,119590,-531,6.050649881,0
5/6/2025 1:02,119842,-262,6.089908361,0
5/6/2025 1:02,119895,-196,6.130243778,0
5/6/2025 1:02,119947,-135,6.169902563,0
5/6/2025 1:02,120149,63,6.210176229,0
5/6/2025 1:02,120433,325,6.249930859,0
5/6/2025 1:02,120711,566,6.289850712,0
5/6/2025 1:02,120882,691,6.330388546,0
5/6/2025 1:02,120995,754,6.369968653,0
5/6/2025 1:02,121099,804,6.409948587,0
5/6/2025 1:02,121199,848,6.449898481,0
5/6/2025 1:02,121278,869,6.48984623,0
5/6/2025 1:02,121374,904,6.530118465,0
5/6/2025 1:02,121078,570,6.569979429,0
5/6/2025 1:02,119555,-893,6.610434055,0
5/6/2025 1:02,118850,-1498,6.650032282,0
5/6/2025 1:02,118937,-1323,6.69055438,0
5/6/2025 1:02,119109,-1079,6.730216265,0
5/6/2025 1:02,119232,-896,6.769891024,0
5/6/2025 1:02,119577,-517,6.809920073,0
5/6/2025 1:02,119779,-295,6.850202322,0
5/6/2025 1:02,119762,-292,6.889823914,0
5/6/2025 1:02,119815,-224,6.93001914,0
5/6/2025 1:02,119959,-75,6.970469236,0
5/6/2025 1:02,120173,130,7.010457039,0
5/6/2025 1:02,120399,334,7.049937248,0
5/6/2025 1:02,120589,491,7.089830637,0
5/6/2025 1:02,120714,578,7.130158663,0
5/6/2025 1:02,120821,642,7.169997215,0
5/6/2025 1:02,120911,686,7.210274696,0
5/6/2025 1:02,121028,753,7.250329256,0
5/6/2025 1:02,121190,858,7.30061698,0
5/6/2025 1:02,121085,706,7.340696812,0
5/6/2025 1:02,119651,-683,7.37996459,0
5/6/2025 1:02,118771,-1465,7.420792818,0
5/6/2025 1:02,118724,-1417,7.460237741,0
5/6/2025 1:02,118775,-1281,7.500371695,0
5/6/2025 1:02,118764,-1211,7.539848089,0
5/6/2025 1:02,119020,-895,7.580143929,0
5/6/2025 1:02,119412,-472,7.620610952,0
5/6/2025 1:02,119565,-299,7.660021782,0
5/6/2025 1:02,119607,-241,7.699829102,0
5/6/2025 1:02,119721,-119,7.739828348,0
5/6/2025 1:02,119955,108,7.780008793,0
5/6/2025 1:02,120242,370,7.820449352,0
5/6/2025 1:02,120467,558,7.860382318,0
5/6/2025 1:02,120673,716,7.899996519,0
5/6/2025 1:02,120894,879,7.940580606,0
5/6/2025 1:02,121040,961,7.980741978,0
5/6/2025 1:02,121156,1009,8.020821095,0
5/6/2025 1:02,121274,1057,8.060398579,0
5/6/2025 1:02,121366,1077,8.099948168,0
5/6/2025 1:02,121044,708,8.140398502,0
5/6/2025 1:02,119432,-847,8.180603266,0
5/6/2025 1:02,118712,-1469,8.220359564,0
