Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/16/2025 14:00,119732,-926,1.359906912,0
4/16/2025 14:00,119866,-742,1.400209188,0
4/16/2025 14:00,119997,-573,1.439769268,0
4/16/2025 14:00,120117,-425,1.479731083,0
4/16/2025 14:00,120186,-333,1.51018548,0
4/16/2025 14:00,120194,-305,1.550244331,0
4/16/2025 14:00,119882,-578,1.590517998,0
4/16/2025 14:00,118836,-1523,1.635360956,0
4/16/2025 14:00,118499,-1744,1.679390192,0
4/16/2025 14:00,118814,-1339,1.719581842,0
4/16/2025 14:00,119201,-893,1.760261774,0
4/16/2025 14:00,119474,-581,1.800292253,0
4/16/2025 14:00,119628,-400,1.839532375,0
4/16/2025 14:00,119634,-370,1.881410837,0
4/16/2025 14:00,119599,-379,1.926163197,0
4/16/2025 14:00,119638,-319,1.959387779,0
4/16/2025 14:00,119752,-192,1.999949694,0
4/16/2025 14:00,119862,-77,2.039885759,0
4/16/2025 14:00,119947,8,2.079595566,0
4/16/2025 14:00,120021,77,2.12012887,0
4/16/2025 14:00,120076,123,2.160407782,0
4/16/2025 14:00,119495,-429,2.204735518,0
4/16/2025 14:00,118416,-1414,2.240032434,0
4/16/2025 14:00,118298,-1436,2.279852629,0
4/16/2025 14:00,118715,-955,2.319494486,0
4/16/2025 14:00,119072,-561,2.359829664,0
4/16/2025 14:00,119320,-293,2.399627447,0
4/16/2025 14:00,119463,-141,2.44014287,0
4/16/2025 14:00,119469,-126,2.479802608,0
4/16/2025 14:00,119467,-120,2.519920826,0
4/16/2025 14:00,119522,-61,2.555700302,0
4/16/2025 14:00,119668,80,2.60023427,0
4/16/2025 14:00,119840,236,2.640429258,0
4/16/2025 14:00,119939,314,2.680058718,0
4/16/2025 14:00,120008,359,2.719495296,0
4/16/2025 14:00,120057,383,2.759866714,0
4/16/2025 14:00,119278,-372,2.799964905,0
4/16/2025 14:00,118190,-1368,2.840440989,0
4/16/2025 14:00,118119,-1349,2.880233765,0
4/16/2025 14:00,118483,-924,2.920318127,0
4/16/2025 14:00,118822,-548,2.959733009,0
4/16/2025 14:00,119079,-273,2.999885798,0
4/16/2025 14:00,119255,-91,3.040064335,0
4/16/2025 14:00,119318,-26,3.079458475,0
4/16/2025 14:00,119354,9,3.120148659,0
4/16/2025 14:00,119434,84,3.160007,0
4/16/2025 14:00,119569,205,3.199831486,0
4/16/2025 14:00,119757,369,3.239663601,0
4/16/2025 14:00,119882,463,3.279548883,0
4/16/2025 14:00,119948,496,3.320214033,0
4/16/2025 14:00,119984,499,3.359850407,0
4/16/2025 14:00,119300,-174,3.399926186,0
4/16/2025 14:00,118157,-1234,3.439658403,0
4/16/2025 14:00,117997,-1307,3.480235338,0
4/16/2025 14:00,118301,-941,3.520349979,0
4/16/2025 14:00,118634,-570,3.559963226,0
4/16/2025 14:00,118906,-279,3.610025167,0
4/16/2025 14:00,119124,-57,3.649898291,0
4/16/2025 14:00,119217,34,3.690077543,0
4/16/2025 14:00,119256,68,3.729384661,0
4/16/2025 14:00,119352,154,3.769425631,0
4/16/2025 14:00,119482,266,3.809654236,0
4/16/2025 14:00,119632,390,3.849936724,0
4/16/2025 14:00,119771,496,3.889812469,0
4/16/2025 14:00,119872,560,3.92977643,0
4/16/2025 14:00,119931,580,3.969784737,0
4/16/2025 14:00,119505,145,4.00016284,0
4/16/2025 14:00,118293,-1001,4.040205002,0
4/16/2025 14:00,118001,-1212,4.08981204,0
4/16/2025 14:00,118330,-828,4.129493952,0
4/16/2025 14:00,118720,-410,4.169741154,0
4/16/2025 14:00,119018,-105,4.204243898,0
4/16/2025 14:00,119236,106,4.250712395,0
4/16/2025 14:00,119302,161,4.284080982,0
4/16/2025 14:00,119304,153,4.329568386,0
4/16/2025 14:00,119365,201,4.36299777,0
4/16/2025 14:00,119502,317,4.410029888,0
4/16/2025 14:00,119623,410,4.443622351,0
4/16/2025 14:00,119723,478,4.490199089,0
4/16/2025 14:00,119831,550,4.529920578,0
4/16/2025 14:00,119907,587,4.570426464,0
4/16/2025 14:00,119816,465,4.610070229,0
4/16/2025 14:00,118887,-435,4.649954796,0
4/16/2025 14:00,118105,-1141,4.690255404,0
4/16/2025 14:00,118300,-887,4.72948575,0
4/16/2025 14:00,118725,-433,4.769981146,0
4/16/2025 14:00,118990,-158,4.809738636,0
4/16/2025 14:00,119188,38,4.849693775,0
4/16/2025 14:00,119282,124,4.890069723,0
4/16/2025 14:00,119262,97,4.930203199,0
4/16/2025 14:00,119247,77,4.970158577,0
4/16/2025 14:00,119392,208,5.010332823,0
4/16/2025 14:00,119552,345,5.049762726,0
4/16/2025 14:00,119680,444,5.090219021,0
4/16/2025 14:00,119789,518,5.129919291,0
4/16/2025 14:00,119893,583,5.169575214,0
4/16/2025 14:00,119834,492,5.210302353,0
4/16/2025 14:00,118792,-516,5.249475241,0
4/16/2025 14:00,117922,-1299,5.289940834,0
4/16/2025 14:00,118048,-1100,5.329565525,0
4/16/2025 14:00,118471,-635,5.369676828,0
4/16/2025 14:00,118767,-317,5.409474134,0
4/16/2025 14:00,119023,-57,5.44939971,0
4/16/2025 14:00,119212,123,5.489401579,0
4/16/2025 14:00,119246,148,5.532400131,0
4/16/2025 14:00,119321,209,5.575467587,0
4/16/2025 14:00,119480,345,5.615821838,0
4/16/2025 14:00,119643,476,5.650997162,0
4/16/2025 14:00,119737,534,5.691790819,0
4/16/2025 14:00,119809,569,5.730247736,0
4/16/2025 14:00,119878,598,5.76962924,0
4/16/2025 14:00,119925,604,5.810278893,0
4/16/2025 14:00,119725,379,5.850065947,0
4/16/2025 14:00,118492,-800,5.889571905,0
4/16/2025 14:00,117862,-1341,5.929884911,0
4/16/2025 14:00,118142,-995,5.979504585,0
4/16/2025 14:00,118543,-556,6.019675732,0
4/16/2025 14:00,118790,-290,6.061219931,0
4/16/2025 14:00,119036,-41,6.099769115,0
4/16/2025 14:00,119215,129,6.140165806,0
4/16/2025 14:00,119241,145,6.180170298,0
