Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/21/2025 1:10,119338,139,0.078166723,0
4/21/2025 1:10,119572,350,0.078445911,0
4/21/2025 1:10,119680,429,0.078611135,0
4/21/2025 1:10,119806,521,0.086472511,0
4/21/2025 1:10,119944,618,0.129478216,0
4/21/2025 1:10,120016,647,0.170051336,0
4/21/2025 1:10,120109,693,0.209314346,0
4/21/2025 1:10,120171,708,0.249834061,0
4/21/2025 1:10,120123,619,0.289400339,0
4/21/2025 1:10,120110,568,0.329321384,0
4/21/2025 1:10,120195,612,0.369609594,0
4/21/2025 1:10,120324,695,0.409370422,0
4/21/2025 1:10,120450,770,0.450110912,0
4/21/2025 1:10,119971,273,0.490293503,0
4/21/2025 1:10,118862,-784,0.529854536,0
4/21/2025 1:10,118683,-903,0.569464922,0
4/21/2025 1:10,119132,-425,0.610322714,0
4/21/2025 1:10,119560,2,0.649303675,0
4/21/2025 1:10,119775,204,0.689502954,0
4/21/2025 1:10,119935,341,0.729298115,0
4/21/2025 1:10,119985,367,0.770225048,0
4/21/2025 1:10,119949,310,0.809403658,0
4/21/2025 1:10,119958,299,0.849468231,0
4/21/2025 1:10,119984,305,0.889462709,0
4/21/2025 1:10,120075,371,0.930303574,0
4/21/2025 1:10,120208,473,0.979311228,0
4/21/2025 1:10,120322,550,1.019728661,0
4/21/2025 1:10,120433,620,1.050241947,0
4/21/2025 1:10,120499,643,1.100126505,0
4/21/2025 1:10,120454,561,1.139322519,0
4/21/2025 1:10,119584,-290,1.180103302,0
4/21/2025 1:10,118863,-948,1.219997168,0
4/21/2025 1:10,118996,-764,1.260016203,0
4/21/2025 1:10,119415,-323,1.300084114,0
4/21/2025 1:10,119771,31,1.339360476,0
4/21/2025 1:10,120011,254,1.379310369,0
4/21/2025 1:10,120096,318,1.419854164,0
4/21/2025 1:10,120149,348,1.459309101,0
4/21/2025 1:10,120169,345,1.500217676,0
4/21/2025 1:10,120230,380,1.540174007,0
4/21/2025 1:10,120330,450,1.579300642,0
4/21/2025 1:10,120374,463,1.619715452,0
4/21/2025 1:10,120403,462,1.659384727,0
4/21/2025 1:10,120442,469,1.699480295,0
4/21/2025 1:10,120448,446,1.739611387,0
4/21/2025 1:10,120483,451,1.779473305,0
4/21/2025 1:10,120437,379,1.81942153,0
4/21/2025 1:10,119686,-348,1.859392881,0
4/21/2025 1:10,119235,-749,1.900499344,0
4/21/2025 1:10,119644,-319,1.939857244,0
4/21/2025 1:10,120026,59,1.979369879,0
4/21/2025 1:10,120237,253,2.019945145,0
4/21/2025 1:10,120366,358,2.059385538,0
4/21/2025 1:10,120388,357,2.099313736,0
4/21/2025 1:10,120379,326,2.139856815,0
4/21/2025 1:10,120436,359,2.179365635,0
4/21/2025 1:10,120517,413,2.220304012,0
4/21/2025 1:10,120598,463,2.260246277,0
4/21/2025 1:10,120652,484,2.299614906,0
4/21/2025 1:10,120679,480,2.340206861,0
4/21/2025 1:10,120678,449,2.379796743,0
4/21/2025 1:10,120707,448,2.420152664,0
4/21/2025 1:10,120730,441,2.460288286,0
4/21/2025 1:10,120268,-19,2.499334335,0
4/21/2025 1:10,119450,-785,2.5398314,0
4/21/2025 1:10,119559,-634,2.57932663,0
4/21/2025 1:10,119976,-203,2.619691849,0
4/21/2025 1:10,120254,70,2.659843445,0
4/21/2025 1:10,120454,253,2.699645996,0
4/21/2025 1:10,120538,316,2.739537239,0
4/21/2025 1:10,120464,227,2.779408216,0
4/21/2025 1:10,120453,203,2.891521692,0
4/21/2025 1:10,120536,268,2.891686678,0
4/21/2025 1:10,120631,340,2.899367332,0
4/21/2025 1:10,120740,421,2.939706802,0
4/21/2025 1:10,120777,430,2.979508162,0
4/21/2025 1:10,120799,423,3.019470692,0
4/21/2025 1:10,120847,442,3.060236692,0
4/21/2025 1:10,120875,441,3.100062847,0
4/21/2025 1:10,120443,8,3.139821529,0
4/21/2025 1:10,119549,-830,3.1794734,0
4/21/2025 1:10,119558,-770,3.219368935,0
4/21/2025 1:10,119954,-351,3.260021925,0
4/21/2025 1:10,120273,-30,3.302490711,0
4/21/2025 1:10,120432,121,3.339442492,0
4/21/2025 1:10,120479,158,3.379507542,0
4/21/2025 1:10,120508,175,3.420216084,0
4/21/2025 1:10,120544,198,3.470170736,0
4/21/2025 1:10,120607,245,3.510247946,0
4/21/2025 1:10,120690,307,3.550107002,0
4/21/2025 1:10,120800,391,3.589470625,0
4/21/2025 1:10,120883,445,3.629343271,0
4/21/2025 1:10,120924,455,3.670039892,0
4/21/2025 1:10,120938,440,3.709789276,0
